[2026-03-30 10:15:11] 手動測試成功
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
[2026-03-30 10:17:20] fetch_remote
